date,ticker,day_open,adv_20d,n_1min_bars
2025-03-04,ACH,9.16,797885.8615,234
2025-03-04,ACLX,61.525,2664546.479,143
2025-03-04,ADMA,14.895,1816044.52425,306
2025-03-04,AGL,2.845,728812.3462500001,273
2025-03-04,ALAB,64.875,24256437.75925,339
2025-03-04,AMDL,4.62,2324901.13575,268
2025-03-04,ANAB,14.41,1036607.0715,125
2025-03-04,ARRY,5.26,1548967.5672499998,328
2025-03-04,ASTS,24.75,8905152.4345,372
2025-03-04,BEAM,24.235,2093086.6184999999,186
2025-03-04,BITU,35.15,832592.4974999999,82
2025-03-04,BITX,37.685,2807685.651,169
2025-03-04,BOIL,100.915,1659583.4935,162
2025-03-04,BTBT,2.195,665080.96575,190
2025-03-04,BYND,2.93,328635.06475,236
2025-03-04,CHPT,0.5763,309205.08962,237
2025-03-04,CLOV,3.48,722319.3065000001,226
2025-03-04,CNTA,14.96,1192688.1345000002,162
2025-03-04,CON,21.58,887445.33975,114
2025-03-04,CONL,21.215,3368405.394,175
2025-03-04,CRDO,49.145,15800468.469,373
2025-03-04,CYD,17.745,412807.7176315789,82
2025-03-04,CYN,5.99,399331.974145,2
2025-03-04,DOMH,6.34,402021.537,21
2025-03-04,DQ,19.15,927273.7592499999,221
2025-03-04,EBS,5.78,357453.794,254
2025-03-04,ENPH,52.155,11905059.67,347
2025-03-04,FAZ,5.39,1480415.85625,187
2025-03-04,FSLR,125.39,21196712.251,279
2025-03-04,FTRE,10.145,1382386.70475,317
2025-03-04,FUBO,2.675,2302777.47775,300
2025-03-04,GCT,13.99,518205.6390000001,141
2025-03-04,GDS,32.295,11458475.555750001,377
2025-03-04,GHRS,8.82,577879.01175,99
2025-03-04,GRAL,35.64,3755183.3127499996,181
2025-03-04,GRRR,30.2,1036126.23125,244
2025-03-04,GTLB,54.395,8779353.807,337
2025-03-04,HAIN,3.56,351768.73575,186
2025-03-04,HOLO,0.94,537979.9857,180
2025-03-04,IBRX,2.785,443919.91500000004,264
2025-03-04,ICFI,77.53,2150754.031,49
2025-03-04,INOD,47.06,3442052.1415,181
2025-03-04,INVZ,0.6742,386411.11913,115
2025-03-04,IRWD,1.49,364710.94675,193
2025-03-04,IVVD,0.8605,445433.93639000005,118
2025-03-04,JKS,20.84,620181.40675,94
2025-03-04,KC,14.955,2884805.0295,324
2025-03-04,LAES,2.03,611510.887,198
2025-03-04,LEU,80.425,3250295.7625,103
2025-03-04,LTBR,9.35,493984.1045,86
2025-03-04,MGPI,32.07,728166.38475,93
2025-03-04,MLGO,3.45,1208848.5165000001,118
2025-03-04,MSTR,240.25,90662245.15650001,370
2025-03-04,MSTU,4.35,3694547.5335,303
2025-03-04,MSTX,20.74,3356556.416,296
2025-03-04,MSTY,19.04,1601868.33775,289
2025-03-04,NEXT,7.17,363261.08900000004,173
2025-03-04,NFE,8.81,2789641.6635,363
2025-03-04,NVDL,39.97,11122823.774,258
2025-03-04,NVDU,57.2,1123173.09675,156
2025-03-04,NVDX,8.35,4386561.2055,160
2025-03-04,NVTS,2.21,347423.9245,222
2025-03-04,OCUL,5.815,405136.12475,233
2025-03-04,OKLO,28.4,13536668.37575,371
2025-03-04,PACB,1.305,936976.66075,223
2025-03-04,PLTU,27.19,966352.8835000001,112
2025-03-04,PLUG,1.385,2199457.5470000003,308
2025-03-04,PRAX,30.66,2427273.951,99
2025-03-04,PTIR,131.6,2481028.3085000003,54
2025-03-04,QBTS,4.51,5835841.53275,336
2025-03-04,QSI,1.15,327975.26025,172
2025-03-04,QUBT,5.015,1866613.73525,370
2025-03-04,RCAT,5.04,1028604.1852500001,321
2025-03-04,RDW,11.575,805529.818,153
2025-03-04,RGTI,7.08,10005969.3755,376
2025-03-04,RILY,4.9,389793.34125,114
2025-03-04,RUN,6.09,3326815.3775,376
2025-03-04,SAIC,95.04,3494944.35475,156
2025-03-04,SION,14.35,643664.8615625,28
2025-03-04,SMCI,35.03,102235580.87,390
2025-03-04,SMCX,37.72,4315831.742000001,238
2025-03-04,SMR,14.615,6128176.4655,362
2025-03-04,SOUN,8.96,10394432.26925,369
2025-03-04,STAA,16.33,1195115.6045,168
2025-03-04,SVV,6.605,391333.443,166
2025-03-04,TGTX,34.285,2571590.4420000003,287
2025-03-04,TNK,36.66,676330.50575,98
2025-03-04,TSLZ,4.71,1560338.69625,163
2025-03-04,TXG,9.47,1992467.539,349
2025-03-04,UEC,4.81,1950378.4640000002,329
2025-03-04,UUUU,3.8,1272005.405,256
2025-03-04,UVIX,40.31,3552333.653,220
2025-03-04,UVXY,24.27,7708504.6155,379
2025-03-04,VKTX,25.105,5100929.11675,263
2025-03-04,WGS,88.3,5744361.16725,110
2025-03-04,WVE,10.33,485252.6415,177
2025-03-04,ZH,4.95,399682.755,115
2025-03-05,AAON,77.05,5044058.614,253
2025-03-05,ADMA,16.85,1816044.52425,280
2025-03-05,ADPT,6.965,788905.549,288
2025-03-05,AG,5.395,2407892.72225,241
2025-03-05,AGI,23.11,2668910.809,305
2025-03-05,AGL,3.25,728812.3462500001,290
2025-03-05,ANAB,15.29,1036607.0715,60
2025-03-05,APLD,7.015,4592220.45725,356
2025-03-05,APPS,3.12,877277.0205,193
2025-03-05,ARBE,1.305,318044.38475,183
2025-03-05,ARQT,13.36,1801649.10775,262
2025-03-05,ASTS,29.68,8905152.4345,378
2025-03-05,ATRO,22.235,313535.034,204
2025-03-05,AUPH,8.175,438372.084,192
2025-03-05,AVAV,111.38,3616350.3950000005,141
2025-03-05,BABX,38.14,942881.6935,89
2025-03-05,BEKE,22.89,9271167.037,362
2025-03-05,BKD,5.59,627768.54425,212
2025-03-05,BOIL,97.03,1659583.4935,90
2025-03-05,BVN,13.07,474420.84375,149
2025-03-05,CDE,5.165,5738890.9542499995,290
2025-03-05,CE,48.765,10985533.491249999,335
2025-03-05,CHPT,0.67,309205.08962,231
2025-03-05,CHWY,34.61,8624692.769499999,319
2025-03-05,CIFR,3.84,1517854.482,242
2025-03-05,CLSK,7.955,4590696.311,382
2025-03-05,CONL,23.46,3368405.394,129
2025-03-05,CYD,21.045,412807.7176315789,127
2025-03-05,DIN,22.78,556856.89725,107
2025-03-05,DOMH,6.94,402021.537,12
2025-03-05,DRIP,12.68,1043416.69225,216
2025-03-05,EH,22.04,2410819.3405,202
2025-03-05,EOSE,4.2,841391.64725,324
2025-03-05,EXK,3.66,822085.9395,177
2025-03-05,GDRX,4.71,345528.72825000004,253
2025-03-05,GDS,37.67,11458475.555750001,358
2025-03-05,GHRS,9.25,577879.01175,64
2025-03-05,GPRE,5.09,678139.6714999999,216
2025-03-05,GRAL,41.55,3755183.3127499996,197
2025-03-05,GRRR,39.46,1036126.23125,159
2025-03-05,HIMS,37.925,42975831.482999995,380
2025-03-05,HIMX,9.78,1624343.845,241
2025-03-05,HL,5.155,2757223.26925,247
2025-03-05,HMY,10.35,2026639.1580000003,254
2025-03-05,HSAI,16.31,2211875.63075,190
2025-03-05,INDI,2.79,659274.5035,190
2025-03-05,IQ,2.185,2646735.5365000004,244
2025-03-05,IRWD,1.46,364710.94675,155
2025-03-05,JNUG,47.265,362748.63725,42
2025-03-05,KC,16.94,2884805.0295,318
2025-03-05,KT,17.21,2789462.7079999996,293
2025-03-05,KTOS,26.33,2485112.58625,190
2025-03-05,LUMN,4.85,2288533.9745,290
2025-03-05,LX,9.04,1085170.4525000001,244
2025-03-05,MARA,14.3,10965665.026250001,386
2025-03-05,MDGL,324.18,7573270.244,77
2025-03-05,MLGO,4.09,1208848.5165000001,204
2025-03-05,MSOS,2.78,796144.75875,179
2025-03-05,MSTR,277.55,90662245.15650001,368
2025-03-05,MSTU,5.825,3694547.5335,332
2025-03-05,MSTX,27.46,3356556.416,332
2025-03-05,MSTY,21.02,1601868.33775,244
2025-03-05,NABL,7.075,360111.39775,157
2025-03-05,NAIL,66.69,820066.7685,23
2025-03-05,NEO,9.36,656574.4125,139
2025-03-05,NFE,9.67,2789641.6635,303
2025-03-05,NG,3.17,338509.5305,83
2025-03-05,NN,9.62,491808.13049999997,195
2025-03-05,NVCR,17.855,1065519.8625,166
2025-03-05,NVDQ,3.42,970435.56175,64
2025-03-05,NVTS,2.455,347423.9245,170
2025-03-05,OCUL,6.66,405136.12475,205
2025-03-05,OI,10.87,926171.0859999999,206
2025-03-05,OSW,18.76,1326968.0807500002,142
2025-03-05,PDYN,6.55,575429.547,98
2025-03-05,PLRX,1.36,481044.41150000005,191
2025-03-05,PLTU,30.45,966352.8835000001,105
2025-03-05,PPTA,8.53,392401.56275,156
2025-03-05,PTIR,143.52,2481028.3085000003,54
2025-03-05,QNTM,4.41,337358.12674999994,9
2025-03-05,RCKT,8.73,582038.63875,135
2025-03-05,RDW,12.35,805529.818,161
2025-03-05,RGEN,152.355,8983199.151250001,136
2025-03-05,RILY,5.31,389793.34125,80
2025-03-05,RKLB,19.115,11303956.318500001,387
2025-03-05,ROOT,129.93,3161908.1275000004,96
2025-03-05,ROST,131.245,15761011.6855,324
2025-03-05,SBIT,11.87,675320.98375,190
2025-03-05,SILJ,10.75,917611.8647500001,191
2025-03-05,SION,15,643664.8615625,29
2025-03-05,SITM,155.885,4118350.65875,109
2025-03-05,SLDB,5.26,660804.34325,104
2025-03-05,SMCX,47.51,4315831.742000001,112
2025-03-05,SOXS,24.26,38283336.19225,388
2025-03-05,SSRM,9.805,798807.2935,182
2025-03-05,SSYS,9.885,536431.86,124
2025-03-05,SUPV,13.05,424948.6415,67
2025-03-05,SVM,3.61,532785.8735,155
2025-03-05,TAL,12.905,4756954.6485,340
2025-03-05,TBLA,2.86,326085.23775,209
2025-03-05,TWI,7.72,304462.45324999996,113
2025-03-05,TXG,10.605,1992467.539,275
2025-03-05,UVIX,37.995,3552333.653,222
2025-03-05,VNET,11.24,5667181.65775,360
2025-03-05,VSAT,8.6,1453583.50175,302
2025-03-05,ZH,5.19,399682.755,103
2025-03-06,ADPT,7.69,788905.549,243
2025-03-06,AGCO,91.59,4850101.43675,106
2025-03-06,AIFF,3.96,1312703.11525,26
2025-03-06,ALLO,1.9,743381.56575,145
2025-03-06,AMSC,19.2,1262369.81425,89
2025-03-06,ANIP,59.04,584277.792,66
2025-03-06,APGE,31.2,991957.2,129
2025-03-06,ARVN,16.99,1329373.2435,165
2025-03-06,ASGN,65.005,3187657.264,147
2025-03-06,ASTS,32.8,8905152.4345,363
2025-03-06,BBAR,18.14,351894.17825,41
