date,cycle_time_utc,cycle_time_et,minute_of_day,ticker,class_label,rank_at_T,is_control,bars_available,session_crossing,is_first_hour,spy_pct_T,breadth_pct_T,day_open,intraday_pct_T,turnover_T,adv_20d,next_bar_return,next_two_bar_return,next_bar_drawdown,bar_tm2_ts,bar_tm2_open,bar_tm2_high,bar_tm2_low,bar_tm2_close,bar_tm2_volume,bar_tm2_vwap,bar_tm2_trades,bar_tm1_ts,bar_tm1_open,bar_tm1_high,bar_tm1_low,bar_tm1_close,bar_tm1_volume,bar_tm1_vwap,bar_tm1_trades,bar_t_ts,bar_t_open,bar_t_high,bar_t_low,bar_t_close,bar_t_volume,bar_t_vwap,bar_t_trades,bar_tp1_ts,bar_tp1_open,bar_tp1_high,bar_tp1_low,bar_tp1_close,bar_tp1_volume,bar_tp1_vwap,bar_tp1_trades,bar_tp2_ts,bar_tp2_open,bar_tp2_high,bar_tp2_low,bar_tp2_close,bar_tp2_volume,bar_tp2_vwap,bar_tp2_trades
2025-04-07,2025-04-07T14:00:00Z,10:00,600,PTIR,fader,1,False,5,False,True,3.5789983649246087,88.51165980795611,79.55,42.872407291011946,1062901.56,1686116.268,-0.14231666006774887,-0.1378293959790595,-0.14231666006774887,2025-04-07T13:30:00Z,79.55,86.22,79.55,81.55,2229,82.954333,33,2025-04-07T13:45:00Z,83.16,95.72,83.16,95.72,2282,88.832778,25,2025-04-07T14:00:00Z,96.16,115.11,95.71,113.655,9352,103.459835,106,2025-04-07T14:15:00Z,112.03,120.5,97.48,97.48,6448,111.975798,87,2025-04-07T14:30:00Z,98,105.82,95.675,97.99,3183,100.297475,37
2025-04-07,2025-04-07T14:00:00Z,10:00,600,ROBN,fader,2,False,5,False,True,3.5789983649246087,88.51165980795611,6.46,39.78328173374612,225524.24999999997,374190.47675000003,-0.13178294573643407,-0.10409745293466219,-0.13732004429678843,2025-04-07T13:30:00Z,6.46,7,6.1,6.45,13081,6.560398,98,2025-04-07T13:45:00Z,6.52,7.71,6.44,7.67,22526,7.250055,106,2025-04-07T14:00:00Z,7.63,9.34,7.57,9.03,24975,8.280053,137,2025-04-07T14:15:00Z,9.12,9.59,7.79,7.84,11964,8.465225,129,2025-04-07T14:30:00Z,7.93,8.48,7.6,8.09,10505,7.919457,124
2025-04-07,2025-04-07T14:00:00Z,10:00,600,PLTU,fader,3,False,5,False,True,3.5789983649246087,88.51165980795611,16.85,39.70326409495547,783905.5399999999,943552.3755000001,-0.12489379779099397,-0.06966864910790146,-0.12956669498725576,2025-04-07T13:30:00Z,16.85,18.33,16.66,17.12,3950,17.037895,28,2025-04-07T13:45:00Z,17.21,19.42,17.11,19.22,5580,18.221481,32,2025-04-07T14:00:00Z,20.37,24.29,20.18,23.54,33301,21.795068,162,2025-04-07T14:15:00Z,23.9,25.47,20.49,20.6,46492,24.029105,136,2025-04-07T14:30:00Z,21.54,22.23,21.54,21.9,1225,22.114393,5
2025-04-07,2025-04-07T14:00:00Z,10:00,600,SMCX,fader,4,False,5,False,True,3.5789983649246087,88.51165980795611,21.91,36.969420356001834,281373.76,2282123.85125,-0.06864378540486511,-0.14061979340219935,-0.13362212595801404,2025-04-07T13:30:00Z,21.91,22.29,21.4,21.59,2913,21.696552,30,2025-04-07T13:45:00Z,21.54,25.36,21.54,25.36,2008,22.807838,20,2025-04-07T14:00:00Z,26.04,30.01,24.79,30.01,9376,27.41703,101,2025-04-07T14:15:00Z,29.715,30.35,26,27.95,5092,28.602275,34,2025-04-07T14:30:00Z,27.19,28.87,25.79,25.79,5958,26.80211,54
2025-04-07,2025-04-07T14:00:00Z,10:00,600,NVDX,fader,5,False,5,False,True,3.5789983649246087,88.51165980795611,4.92,30.182926829268297,1148134.68,3243597.257,-0.10850897736143642,-0.13661202185792348,-0.11943793911007035,2025-04-07T13:30:00Z,4.92,5.09,4.85,4.92,58202,4.911677,61,2025-04-07T13:45:00Z,4.9,5.73,4.9,5.73,35588,5.260306,46,2025-04-07T14:00:00Z,5.78,6.595,5.59,6.405,179256,5.929749,89,2025-04-07T14:15:00Z,6.39,6.64,5.64,5.71,158087,6.122935,98,2025-04-07T14:30:00Z,5.81,5.89,5.49,5.53,39114,5.683813,15
2025-04-07,2025-04-07T14:00:00Z,10:00,600,SOXL,fader,6,False,5,False,True,3.5789983649246087,88.51165980795611,7.865,29.688493324856946,11866986.0,54761044.826,-0.13431372549019602,-0.13382352941176456,-0.14705882352941177,2025-04-07T13:30:00Z,7.865,7.865,7.23,7.37,749671,7.492319,2153,2025-04-07T13:45:00Z,7.38,8.77,7.3,8.75,957213,8.095286,2284,2025-04-07T14:00:00Z,8.73,10.53,8.5,10.2,1163430,9.227488,3713,2025-04-07T14:15:00Z,10.21,10.86,8.7,8.83,1589075,9.79127,5828,2025-04-07T14:30:00Z,8.86,9.31,8.28,8.835,669853,8.737533,2995
2025-04-07,2025-04-07T14:00:00Z,10:00,600,NVDU,fader,7,False,5,False,True,3.5789983649246087,88.51165980795611,33.07,29.15028726942849,367007.03,760060.176,-0.09857176305314916,-0.09388901896511351,-0.10957621166003277,2025-04-07T13:30:00Z,33.07,34.4,32.77,33.06,2884,33.621199,25,2025-04-07T13:45:00Z,33.07,37.98,33.07,37.98,2771,35.65957,28,2025-04-07T14:00:00Z,39.28,43.9,37.92,42.71,8593,40.738153,67,2025-04-07T14:15:00Z,42.98,44.8,38.03,38.5,9464,41.068966,65,2025-04-07T14:30:00Z,38.35,40.24,37.32,38.7,5413,38.851312,43
2025-04-07,2025-04-07T14:00:00Z,10:00,600,NVDL,fader,8,False,5,False,True,3.5789983649246087,88.51165980795611,23.64,28.087986463620986,2129380.44,5329354.986,-0.09692866578599743,-0.09610303830911493,-0.10898282694848087,2025-04-07T13:30:00Z,23.64,24.5,23.19,23.6,10229,23.72225,76,2025-04-07T13:45:00Z,23.53,27.53,23.53,27.46,14904,25.131628,110,2025-04-07T14:00:00Z,27.29,31.79,26.94,30.28,70323,29.27375,437,2025-04-07T14:15:00Z,30.61,31.88,26.98,27.345,79704,30.351027,365,2025-04-07T14:30:00Z,27.4,28.55,26.38,27.37,16766,27.511174,119
2025-04-07,2025-04-07T14:00:00Z,10:00,600,MSTU,fader,9,False,5,False,True,3.5789983649246087,88.51165980795611,4.21,27.55344418052257,1162621.11,6375784.68,-0.13966480446927373,-0.13035381750465552,-0.13966480446927373,2025-04-07T13:30:00Z,4.21,4.38,4.03,4.04,19572,4.274174,27,2025-04-07T13:45:00Z,4.06,4.71,4.04,4.71,105490,4.478509,76,2025-04-07T14:00:00Z,4.7,5.53,4.53,5.37,216503,5.095256,169,2025-04-07T14:15:00Z,5.41,5.64,4.62,4.62,114495,5.279512,97,2025-04-07T14:30:00Z,4.57,5.02,4.53,4.67,53552,4.771052,63
2025-04-07,2025-04-07T14:00:00Z,10:00,600,CONL,fader,10,False,5,False,True,3.5789983649246087,88.51165980795611,9.675,27.545219638242884,254278.04,1387169.93225,-0.10453808752025925,-0.1085899513776337,-0.11750405186385732,2025-04-07T13:30:00Z,9.675,10.17,9.28,9.29,16713,9.780192,96,2025-04-07T13:45:00Z,9.46,10.74,9.31,10.5,19751,10.227975,88,2025-04-07T14:00:00Z,10.44,12.34,10.44,12.34,20606,10.904312,96,2025-04-07T14:15:00Z,12.72,12.72,10.89,11.05,1029,11.246964,8,2025-04-07T14:30:00Z,11.16,11.61,10.51,11,4860,11.23625,23
2025-04-07,2025-04-07T14:00:00Z,10:00,600,INDI,fader,11,False,5,False,True,3.5789983649246087,88.51165980795611,1.535,26.384364820846905,19500.88,454670.66675000003,-0.051546391752577254,-0.07474226804123713,-0.06185567010309272,2025-04-07T13:30:00Z,1.535,1.67,1.535,1.615,7992,1.608016,53,2025-04-07T13:45:00Z,1.605,1.785,1.59,1.78,5589,1.695,44,2025-04-07T14:00:00Z,1.805,1.98,1.805,1.94,10052,1.898824,55,2025-04-07T14:15:00Z,1.95,2,1.82,1.84,9228,1.894436,44,2025-04-07T14:30:00Z,1.835,1.89,1.75,1.795,13857,1.801521,74
2025-04-07,2025-04-07T14:00:00Z,10:00,600,CRDO,fader,12,False,5,False,True,3.5789983649246087,88.51165980795611,29.69,26.305153250252605,1238587.5,9601080.44775,-0.08933333333333338,-0.10560000000000003,-0.08933333333333338,2025-04-07T13:30:00Z,29.69,31.45,29.305,30.37,17736,30.656695,159,2025-04-07T13:45:00Z,30.41,33.725,30.41,33.725,14932,32.672311,155,2025-04-07T14:00:00Z,33.55,38.45,33.51,37.5,33029,34.762495,292,2025-04-07T14:15:00Z,37.99,38.89,34.15,34.15,24595,36.83563,348,2025-04-07T14:30:00Z,33.95,35.38,33.54,33.54,5098,34.29769,102
2025-04-07,2025-04-07T14:00:00Z,10:00,600,AAOI,fader,13,False,5,False,True,3.5789983649246087,88.51165980795611,10.01,25.824175824175832,616701.5800000001,3205102.8710000003,-0.09606986899563325,-0.1012306470821755,-0.10003969829297338,2025-04-07T13:30:00Z,10.01,10.39,9.975,10.2,25351,10.220357,236,2025-04-07T13:45:00Z,10.17,11.4,10.13,11.4,13117,10.769829,156,2025-04-07T14:00:00Z,11.4,12.85,11.28,12.595,48964,11.771177,494,2025-04-07T14:15:00Z,12.7,12.89,11.335,11.385,20977,12.289064,244,2025-04-07T14:30:00Z,11.415,11.58,11.09,11.32,8739,11.262973,126
2025-04-07,2025-04-07T14:00:00Z,10:00,600,CIFR,fader,14,False,5,False,True,3.5789983649246087,88.51165980795611,1.88,25.53191489361702,66839.92,1419955.0217499998,-0.08474576271186429,-0.08898305084745761,-0.08898305084745761,2025-04-07T13:30:00Z,1.88,1.94,1.87,1.885,26059,1.897575,98,2025-04-07T13:45:00Z,1.89,2.105,1.88,2.105,18708,2.025385,87,2025-04-07T14:00:00Z,2.14,2.38,2.1,2.36,28322,2.268325,128,2025-04-07T14:15:00Z,2.35,2.4,2.15,2.16,20726,2.274296,80,2025-04-07T14:30:00Z,2.16,2.19,2.06,2.15,24550,2.10837,89
2025-04-07,2025-04-07T14:00:00Z,10:00,600,MSTX,fader,15,False,5,False,True,3.5789983649246087,88.51165980795611,20.22,25.370919881305653,254666.1,2814507.373,-0.13451676528599604,-0.11794871794871802,-0.13727810650887576,2025-04-07T13:30:00Z,20.22,21.42,19.14,19.45,15843,19.65657,146,2025-04-07T13:45:00Z,19.84,22.35,19.84,22.35,2557,20.988604,25,2025-04-07T14:00:00Z,22.73,25.99,21.9,25.35,10046,24.656597,85,2025-04-07T14:15:00Z,26.18,26.6,21.87,21.94,35885,24.464427,186,2025-04-07T14:30:00Z,21.52,23.19,21.32,22.36,6205,21.83358,69
2025-04-07,2025-04-07T14:00:00Z,10:00,600,SPYU,fader,16,False,5,False,True,3.5789983649246087,88.51165980795611,19.37,24.625709860609184,31454.420000000002,334737.17675,-0.11723280861640438,-0.13090306545153274,-0.11723280861640438,2025-04-07T13:30:00Z,19.37,19.37,18.36,18.36,626,18.934444,22,2025-04-07T13:45:00Z,19.915,19.97,19.895,19.97,1600,19.91125,12,2025-04-07T14:00:00Z,21.23,24.14,21.23,24.14,1303,22.274231,5,2025-04-07T14:15:00Z,24.53,24.7,21.31,21.31,2584,24.132083,14,2025-04-07T14:30:00Z,20.98,20.98,20.98,20.98,200,20.98,2
2025-04-07,2025-04-07T14:00:00Z,10:00,600,INOD,fader,17,False,5,False,True,3.5789983649246087,88.51165980795611,26.87,24.302195757350194,128256.0,1881604.8169999998,-0.09820359281437119,-0.07904191616766458,-0.09850299401197603,2025-04-07T13:30:00Z,26.87,27.88,26.84,26.97,4755,27.110306,60,2025-04-07T13:45:00Z,27.18,29.1,27.18,29.1,2148,28.379955,33,2025-04-07T14:00:00Z,29.78,33.48,29.525,33.4,3840,31.071129,53,2025-04-07T14:15:00Z,33.51,34.23,30.11,30.12,5432,31.908418,60,2025-04-07T14:30:00Z,30.06,31.37,29.745,30.76,2513,30.38275,36
2025-04-07,2025-04-07T14:00:00Z,10:00,600,RGTI,fader,18,False,5,False,True,3.5789983649246087,88.51165980795611,6.9,24.202898550724637,579777.64,8104030.6115,-0.0700116686114353,-0.060676779463243825,-0.07584597432905488,2025-04-07T13:30:00Z,6.9,7.2,6.87,7.04,24332,7.046743,194,2025-04-07T13:45:00Z,7.015,7.83,7.01,7.805,14966,7.4625,150,2025-04-07T14:00:00Z,7.775,8.68,7.735,8.57,67652,8.296269,414,2025-04-07T14:15:00Z,8.57,8.77,7.92,7.97,45079,8.3512,357,2025-04-07T14:30:00Z,7.91,8.2,7.73,8.05,37588,7.978263,268
2025-04-07,2025-04-07T14:00:00Z,10:00,600,WULF,fader,19,False,5,False,True,3.5789983649246087,88.51165980795611,2.3,23.913043478260885,186401.4,2512472.365,-0.08596491228070179,-0.07894736842105265,-0.08596491228070179,2025-04-07T13:30:00Z,2.3,2.44,2.26,2.36,22148,2.355169,96,2025-04-07T13:45:00Z,2.37,2.6,2.36,2.6,23133,2.537363,74,2025-04-07T14:00:00Z,2.605,2.88,2.58,2.85,65404,2.721061,182,2025-04-07T14:15:00Z,2.86,2.93,2.605,2.605,76980,2.767573,176,2025-04-07T14:30:00Z,2.62,2.7,2.55,2.625,48006,2.602292,80
2025-04-07,2025-04-07T14:00:00Z,10:00,600,TNA,fader,20,False,5,False,True,3.5789983649246087,88.51165980795611,18.62,23.79162191192266,505578.7,3466258.19475,-0.11691973969631238,-0.11453362255965295,-0.11691973969631238,2025-04-07T13:30:00Z,18.62,19.195,18.16,18.22,7674,18.586242,24,2025-04-07T13:45:00Z,18.26,19.685,18.13,19.665,41988,19.187249,61,2025-04-07T14:00:00Z,19.775,24.37,19.585,23.05,21934,21.1085,134,2025-04-07T14:15:00Z,23.13,23.63,20.355,20.355,7391,22.086405,64,2025-04-07T14:30:00Z,20.13,21.11,19.66,20.41,23744,20.086959,103
2025-04-07,2025-04-07T14:00:00Z,10:00,600,URTY,fader,21,False,5,False,True,3.5789983649246087,88.51165980795611,22.06,23.073436083408886,713311.95,770485.15275,-0.12117863720073663,-0.11823204419889494,-0.12486187845303857,2025-04-07T13:30:00Z,22.06,22.47,21.16,21.23,4415,21.758977,29,2025-04-07T13:45:00Z,21.29,23.11,21.29,23.04,17611,22.428597,92,2025-04-07T14:00:00Z,23.38,28.78,22.99,27.15,26273,25.232359,210,2025-04-07T14:15:00Z,27.18,27.39,23.76,23.86,3573,25.920286,26,2025-04-07T14:30:00Z,23.94,25.08,23.18,23.94,7162,23.85471,64
2025-04-07,2025-04-07T14:00:00Z,10:00,600,VRT,fader,22,False,5,False,True,3.5789983649246087,88.51165980795611,53.63,22.925601342532154,5828758.875,36634670.93825,-0.09154342055365941,-0.08244216913158886,-0.09154342055365941,2025-04-07T13:30:00Z,53.63,56.705,53.63,55.2,45775,55.206312,485,2025-04-07T13:45:00Z,55.46,60.6,55.38,60.34,49779,58.431965,708,2025-04-07T14:00:00Z,60.1,65.93,60.05,65.925,88415,61.427396,1092,2025-04-07T14:15:00Z,66.08,67.75,59.89,59.89,78409,64.164193,1218,2025-04-07T14:30:00Z,60.12,61.35,59.02,60.49,21983,60.068727,307
2025-04-07,2025-04-07T14:00:00Z,10:00,600,UPST,fader,23,False,5,False,True,3.5789983649246087,88.51165980795611,31.795,22.660795722597886,928044,6780109.944499999,-0.07666666666666672,-0.06282051282051289,-0.08089743589743592,2025-04-07T13:30:00Z,31.795,33.625,31.795,32.44,13692,32.841679,175,2025-04-07T13:45:00Z,32.605,35.45,32.45,35.45,10607,33.75777,141,2025-04-07T14:00:00Z,35.39,39.42,35.32,39,23796,36.870262,348,2025-04-07T14:15:00Z,39.345,39.965,35.845,36.01,26564,37.957801,314,2025-04-07T14:30:00Z,36.06,37.42,35.16,36.55,13628,36.014004,213
2025-04-07,2025-04-07T14:00:00Z,10:00,600,SEI,fader,24,False,5,False,True,3.5789983649246087,88.51165980795611,14.8,22.567567567567565,99679.3,2551350.5395,-0.09812568908489532,-0.10198456449834627,-0.09812568908489532,2025-04-07T13:30:00Z,14.8,14.98,14.75,14.75,615,14.8775,6,2025-04-07T13:45:00Z,15.5,16.79,15.5,16.79,2184,16.093824,32,2025-04-07T14:00:00Z,16.665,18.16,16.45,18.14,5495,16.952716,86,2025-04-07T14:15:00Z,18.065,18.39,16.36,16.36,9914,17.325967,104,2025-04-07T14:30:00Z,16.19,16.715,15.96,16.29,3245,16.236865,44
2025-04-07,2025-04-07T14:00:00Z,10:00,600,TECL,fader,25,False,5,False,True,3.5789983649246087,88.51165980795611,34.245,22.558037669732816,364257.63,1495335.496,-0.09482964021920412,-0.08482249225637366,-0.1055515844650941,2025-04-07T13:30:00Z,34.245,34.38,32.59,32.96,4275,33.470253,44,2025-04-07T13:45:00Z,33,37.35,32.79,37.3,9155,35.420316,94,2025-04-07T14:00:00Z,37.21,43.18,36.65,41.97,8679,38.42872,84,2025-04-07T14:15:00Z,42.28,44.08,37.54,37.99,3871,39.134897,33,2025-04-07T14:30:00Z,37.76,39.94,36.41,38.41,5707,37.819015,70
2025-04-07,2025-04-07T14:00:00Z,10:00,600,SMR,fader,26,False,5,False,True,3.5789983649246087,88.51165980795611,11.83,22.442941673710898,434057.51,2682546.461,-0.06869175008629612,-0.05557473248187779,-0.07628581290990671,2025-04-07T13:30:00Z,11.83,12.34,11.65,11.88,16008,12.045181,174,2025-04-07T13:45:00Z,11.96,13.215,11.835,13.215,11351,12.703569,121,2025-04-07T14:00:00Z,13.44,14.76,13.28,14.485,29966,13.739653,340,2025-04-07T14:15:00Z,14.55,14.91,13.38,13.49,29012,14.14398,320,2025-04-07T14:30:00Z,13.475,13.85,13.1,13.68,29093,13.383549,309
2025-04-07,2025-04-07T14:00:00Z,10:00,600,AMZZ,fader,27,False,5,False,True,3.5789983649246087,88.51165980795611,17.87,22.38388360380526,104254.29000000001,345937.523,-0.05669867398262469,-0.06584362139917702,-0.06218564243255598,2025-04-07T13:30:00Z,17.87,18.49,17.87,18.45,2428,18.347482,25,2025-04-07T13:45:00Z,18.56,19.81,18.56,19.81,1600,19.190317,13,2025-04-07T14:00:00Z,20.05,21.87,19.67,21.87,4767,20.325659,40,2025-04-07T14:15:00Z,22.18,22.36,20.51,20.63,1660,21.085,20,2025-04-07T14:30:00Z,20.51,20.98,19.88,20.43,1517,20.186923,17
2025-04-07,2025-04-07T14:00:00Z,10:00,600,APLD,fader,28,False,5,False,True,3.5789983649246087,88.51165980795611,4.36,22.36238532110091,182350.3,3324327.1767499996,-0.06654170571696336,-0.0618556701030928,-0.06654170571696336,2025-04-07T13:30:00Z,4.36,4.56,4.32,4.41,28649,4.415913,157,2025-04-07T13:45:00Z,4.42,4.82,4.41,4.8,17425,4.608867,130,2025-04-07T14:00:00Z,4.8,5.475,4.8,5.335,34180,5.151517,219,2025-04-07T14:15:00Z,5.37,5.51,4.98,4.98,30496,5.175993,175,2025-04-07T14:30:00Z,4.995,5.135,4.855,5.005,69683,4.968053,333
2025-04-07,2025-04-07T14:00:00Z,10:00,600,APP,fader,29,False,5,False,True,3.5789983649246087,88.51165980795611,201.34,22.26333565113737,12027621.9,105362596.75125,-0.07677777100725126,-0.07675745942761962,-0.08695387240265676,2025-04-07T13:30:00Z,201.34,211.44,201.34,206.56,24306,207.170809,341,2025-04-07T13:45:00Z,206.95,227.08,206.95,226.81,36789,220.487043,482,2025-04-07T14:00:00Z,226.56,248.71,225.5,246.165,48860,235.561467,654,2025-04-07T14:15:00Z,247.57,251.99,224.76,227.265,41403,239.555764,653,2025-04-07T14:30:00Z,227.88,234.93,221.735,227.27,23176,225.764271,441
2025-04-07,2025-04-07T14:00:00Z,10:00,600,LEU,fader,30,False,4,False,True,3.5789983649246087,88.51165980795611,51.18,22.254787026182104,113063.99,1300121.044,-0.06792392520377177,-0.09333546428000644,-0.07799264823397799,2025-04-07T13:30:00Z,51.18,51.5,51.18,51.5,200,51.34,2,,,,,,,,,2025-04-07T14:00:00Z,56.35,62.57,56.35,62.57,1807,58.702187,23,2025-04-07T14:15:00Z,62.3,63.08,57.69,58.32,2389,60.069737,42,2025-04-07T14:30:00Z,57.05,57.05,56.73,56.73,569,56.83125,8
